%time,field.header.seq,field.header.stamp,field.header.frame_id,field.size,field.states0,field.states1,field.states2,field.states3,field.states4,field.states5,field.states6,field.states7,field.states8,field.states9,field.states10,field.states11,field.states12,field.states13,field.states14,field.states15,field.states16,field.states17,field.states18,field.states19,field.states20,field.states21,field.states22,field.states23,field.states24,field.states25,field.states26,field.states27,field.states28,field.states29,field.states30,field.states31,field.states32,field.states33,field.states34,field.states35,field.states36,field.states37,field.states38,field.states39,field.states40,field.states41,field.states42,field.states43,field.states44,field.states45,field.states46,field.states47,field.states48,field.states49,field.states50,field.states51,field.states52,field.states53,field.states54,field.states55,field.states56,field.states57,field.states58,field.states59,field.states60,field.states61,field.states62,field.states63,field.states64,field.states65,field.states66,field.states67,field.states68,field.states69,field.states70,field.states71,field.states72,field.states73,field.states74,field.states75,field.states76,field.states77,field.states78,field.states79,field.states80,field.states81,field.states82,field.states83,field.states84,field.states85,field.states86,field.states87,field.states88,field.states89,field.states90,field.states91,field.states92,field.states93,field.states94,field.states95
1624449123786479256,1856,1624449127147483648,iri_wam_link_base,4,-0.0187836624682,0.0755546540022,0.171373263001,0.267394214869,-0.018915053457,0.0801769420505,0.179479971528,0.281105875969,-0.0169172789901,0.0846937820315,0.185640871525,0.286630809307,-0.0110786873847,0.0900348126888,0.191891565919,0.291417896748,-0.393008887768,-0.367717623711,-0.3711399436,-0.390798151493,-0.383303552866,-0.37411609292,-0.37078884244,-0.383874684572,-0.390879362822,-0.381914079189,-0.379953980446,-0.386641055346,-0.389531821012,-0.393721580505,-0.389596939087,-0.385068297386,-0.290850400925,-0.303309231997,-0.302573859692,-0.303194910288,-0.195392340422,-0.201800405979,-0.206154376268,-0.212725386024,-0.100016057491,-0.102374583483,-0.107621066272,-0.117158070207,-0.00535290688276,-0.000104598701,-0.00483349524438,-0.0215515550226,-0.0120501797646,-0.00464808847755,0.000668599677738,0.00418284814805,-0.00540015520528,-0.0020145168528,0.00104320887476,0.00385105120949,-0.00701647717506,0.00106988032348,0.00278557301499,0.000343190331478,0.0131287993863,0.0115251876414,0.00873633474112,0.0115027455613,-9.08038782654e-05,0.0274065453559,-0.0501565411687,-0.012694244273,-0.0217549521476,0.00441451882944,0.00344847585075,-0.0190166793764,-0.0485931970179,0.000101161735074,0.00168798549566,-0.000298996805213,-0.0067502153106,-0.0258621871471,4.48840455647e-06,0.00012602058996,-0.0211714599282,-0.0119167147204,-0.0122965024784,0.00268130400218,-0.0126460799947,-0.0100883804262,-0.00610647443682,0.00279299612157,-0.00397310126573,-0.00971791427583,-0.00514051830396,0.00647288374603,-0.00270972331055,-0.0199431683868,-0.0112242698669,0.0103337746114
1624449123836551732,1857,1624449127147483648,iri_wam_link_base,4,-0.0180965401232,0.076288856566,0.172198206186,0.268087267876,-0.0149996764958,0.0812582522631,0.179644525051,0.281229227781,-0.0156449340284,0.0842389464378,0.184263557196,0.287244290113,-0.0110786873847,0.0870887637138,0.186003834009,0.283188313246,-0.393503159285,-0.367729216814,-0.371309936047,-0.388785928488,-0.386224329472,-0.374319583178,-0.370754748583,-0.382581889629,-0.380820214748,-0.382172971964,-0.380329042673,-0.384037226439,-0.389531821012,-0.393900036812,-0.389672279358,-0.388201624155,-0.289789587259,-0.302624136209,-0.302867442369,-0.303701400757,-0.194811284542,-0.20091766119,-0.204771637917,-0.210050523281,-0.0997935980558,-0.10150180757,-0.105352461338,-0.111380688846,-0.00535290688276,5.37894666195e-05,-0.00377684086561,-0.0182077288628,0.00740544684231,0.00791285280138,0.00889080855995,0.00746936444193,0.042197894305,0.0116537986323,0.00177347217686,0.00132942164782,0.0137126715854,-0.00490198144689,-0.0148439770564,0.00661177653819,0.0,-0.0317509807646,-0.0634549111128,-0.0886941701174,-0.00532700121403,-0.000124944432173,-0.00183209008537,0.0216866917908,-0.0314786098897,-0.00219311215915,0.00036744584213,0.0139330709353,0.108412258327,-0.00279021146707,-0.0040422254242,0.0280627124012,0.0,-0.00192330917343,-0.000811978243291,-0.0337693654001,0.0114328972995,0.00738360593095,-0.0031640813686,-0.00545869069174,0.0062623177655,0.00951376371086,0.0149024343118,0.0288282781839,0.00239755189978,0.009406324476,0.0244498439133,0.0622656084597,0.0,0.00170702522155,0.0113880708814,0.0360380187631
1624449123886325615,1858,1624449127147483648,iri_wam_link_base,4,-0.0180965401232,0.076288856566,0.172198206186,0.268087267876,-0.0149996764958,0.0812582522631,0.179644525051,0.281229227781,-0.0156449340284,0.0842389464378,0.184263557196,0.287244290113,-0.0110786873847,0.0870887637138,0.186003834009,0.283188313246,-0.393503159285,-0.367729216814,-0.371309936047,-0.388785928488,-0.386224329472,-0.374319583178,-0.370754748583,-0.382581889629,-0.380820214748,-0.382172971964,-0.380329042673,-0.384037226439,-0.389531821012,-0.393900036812,-0.389672279358,-0.388201624155,-0.289789587259,-0.302624136209,-0.302867442369,-0.303701400757,-0.194811284542,-0.20091766119,-0.204771637917,-0.210050523281,-0.0997935980558,-0.10150180757,-0.105352461338,-0.111380688846,-0.00535290688276,5.37894666195e-05,-0.00377684086561,-0.0182077288628,0.00740544684231,0.00791285280138,0.00889080855995,0.00746936444193,0.042197894305,0.0116537986323,0.00177347217686,0.00132942164782,0.0137126715854,-0.00490198144689,-0.0148439770564,0.00661177653819,0.0,-0.0317509807646,-0.0634549111128,-0.0886941701174,-0.00532700121403,-0.000124944432173,-0.00183209008537,0.0216866917908,-0.0314786098897,-0.00219311215915,0.00036744584213,0.0139330709353,0.108412258327,-0.00279021146707,-0.0040422254242,0.0280627124012,0.0,-0.00192330917343,-0.000811978243291,-0.0337693654001,0.0114328972995,0.00738360593095,-0.0031640813686,-0.00545869069174,0.0062623177655,0.00951376371086,0.0149024343118,0.0288282781839,0.00239755189978,0.009406324476,0.0244498439133,0.0622656084597,0.0,0.00170702522155,0.0113880708814,0.0360380187631
1624449123936420542,1859,1624449127147483648,iri_wam_link_base,4,-0.0170614756644,0.0795576795936,0.177069634199,0.274556159973,-0.0175248328596,0.0822325348854,0.181542739272,0.280962347984,-0.0158429909497,0.0855415910482,0.186290100217,0.287213414907,-0.0110786873847,0.0895821899176,0.191000282764,0.291845262051,-0.388473570347,-0.368970543146,-0.371192485094,-0.387197196484,-0.390422701836,-0.37471050024,-0.370247513056,-0.381861567497,-0.386712938547,-0.38206371665,-0.379608392715,-0.385983794928,-0.389531821012,-0.393786340952,-0.389599204063,-0.388088881969,-0.293305426836,-0.303511947393,-0.304238855839,-0.302318811417,-0.197344571352,-0.201898410916,-0.204634785652,-0.207088366151,-0.101218618453,-0.102153539658,-0.105418436229,-0.111047588289,-0.00535290688276,-0.00010484084487,-0.00387544929981,-0.0149021297693,0.011730497703,0.0370459258556,0.0552084222436,0.0733126550913,-0.0286178700626,0.0110416505486,0.0215126667172,-0.00302457762882,-0.00224460056052,0.0147630125284,0.0229670312256,-0.000349912035745,0.0,0.0282582696527,0.0566252954304,0.09811013937,0.057000875473,-0.0140680857003,0.00133108429145,0.0180052723736,-0.0475806072354,-0.00443030521274,0.0057485550642,0.00816348847002,-0.0667828768492,0.00123820232693,0.00816720351577,-0.0220606718212,0.0,0.0012885275064,0.000828170217574,0.00127771939151,-0.0398453883827,-0.0100616598502,-0.0155423767865,0.015669034794,-0.0287100132555,-0.0111149428412,0.00155096151866,0.033570446074,-0.0161499101669,-0.00738615030423,-0.000747700571083,0.00377506460063,0.0,-0.00179777445737,-0.00111754005775,0.0374627113342
1624449123986724748,1860,1624449127147483648,iri_wam_link_base,4,-0.0170614756644,0.0795576795936,0.177069634199,0.274556159973,-0.0175248328596,0.0822325348854,0.181542739272,0.280962347984,-0.0158429909497,0.0855415910482,0.186290100217,0.287213414907,-0.0110786873847,0.0895821899176,0.191000282764,0.291845262051,-0.388473570347,-0.368970543146,-0.371192485094,-0.387197196484,-0.390422701836,-0.37471050024,-0.370247513056,-0.381861567497,-0.386712938547,-0.38206371665,-0.379608392715,-0.385983794928,-0.389531821012,-0.393786340952,-0.389599204063,-0.388088881969,-0.293305426836,-0.303511947393,-0.304238855839,-0.302318811417,-0.197344571352,-0.201898410916,-0.204634785652,-0.207088366151,-0.101218618453,-0.102153539658,-0.105418436229,-0.111047588289,-0.00535290688276,-0.00010484084487,-0.00387544929981,-0.0149021297693,0.011730497703,0.0370459258556,0.0552084222436,0.0733126550913,-0.0286178700626,0.0110416505486,0.0215126667172,-0.00302457762882,-0.00224460056052,0.0147630125284,0.0229670312256,-0.000349912035745,0.0,0.0282582696527,0.0566252954304,0.09811013937,0.057000875473,-0.0140680857003,0.00133108429145,0.0180052723736,-0.0475806072354,-0.00443030521274,0.0057485550642,0.00816348847002,-0.0667828768492,0.00123820232693,0.00816720351577,-0.0220606718212,0.0,0.0012885275064,0.000828170217574,0.00127771939151,-0.0398453883827,-0.0100616598502,-0.0155423767865,0.015669034794,-0.0287100132555,-0.0111149428412,0.00155096151866,0.033570446074,-0.0161499101669,-0.00738615030423,-0.000747700571083,0.00377506460063,0.0,-0.00179777445737,-0.00111754005775,0.0374627113342
1624449124036446061,1861,1624449127147483648,iri_wam_link_base,4,-0.0176209267229,0.0765578821301,0.172072410583,0.267878949642,-0.0164680574089,0.0807915404439,0.179404392838,0.28115734458,-0.0162053015083,0.0838385000825,0.183952331543,0.286716520786,-0.0110786873847,0.0869154259562,0.185910359025,0.283188313246,-0.393294423819,-0.369385272264,-0.369730561972,-0.387288212776,-0.387402266264,-0.374441534281,-0.370471715927,-0.381857424974,-0.386229157448,-0.381958425045,-0.380343973637,-0.38343077898,-0.389531821012,-0.393693387508,-0.389673471451,-0.388201624155,-0.290254086256,-0.303472459316,-0.30487844348,-0.303845852613,-0.195191934705,-0.201610386372,-0.205939650536,-0.211448967457,-0.100124746561,-0.101883009076,-0.105918243527,-0.112050458789,-0.00535290688276,9.40356403589e-05,-0.00381643697619,-0.0182077288628,-0.00601793639362,-0.0322684012353,-0.0537544339895,-0.0718258172274,0.01136758551,-0.015500575304,-0.0230018924922,0.00209755101241,-0.00389732397161,-0.0183199103922,-0.0251470506191,-0.0053450204432,0.0,-0.0286860056221,-0.0547515973449,-0.0931215807796,-0.0518572442234,-0.00446118274704,0.0157257020473,-0.00097904948052,0.0324904024601,0.00289322901517,-0.00241171894595,4.45605364803e-05,0.00520396558568,0.00113260699436,-0.00791254080832,0.0274624340236,0.0,0.000999887124635,-0.000798883847892,-0.0012127518421,0.032822843641,0.00042476769886,-0.00687995459884,-0.0164261683822,0.0231556110084,0.00309823965654,-0.0140362484381,-0.0469063781202,0.0117666264996,0.00291005941108,-0.00537635711953,-0.0107877375558,0.0,0.00213928637095,0.000634787313174,-0.0355578660965
1624449124086300740,1862,1624449127147483648,iri_wam_link_base,4,-0.0176209267229,0.0765578821301,0.172072410583,0.267878949642,-0.0164680574089,0.0807915404439,0.179404392838,0.28115734458,-0.0162053015083,0.0838385000825,0.183952331543,0.286716520786,-0.0110786873847,0.0869154259562,0.185910359025,0.283188313246,-0.393294423819,-0.369385272264,-0.369730561972,-0.387288212776,-0.387402266264,-0.374441534281,-0.370471715927,-0.381857424974,-0.386229157448,-0.381958425045,-0.380343973637,-0.38343077898,-0.389531821012,-0.393693387508,-0.389673471451,-0.388201624155,-0.290254086256,-0.303472459316,-0.30487844348,-0.303845852613,-0.195191934705,-0.201610386372,-0.205939650536,-0.211448967457,-0.100124746561,-0.101883009076,-0.105918243527,-0.112050458789,-0.00535290688276,9.40356403589e-05,-0.00381643697619,-0.0182077288628,-0.00601793639362,-0.0322684012353,-0.0537544339895,-0.0718258172274,0.01136758551,-0.015500575304,-0.0230018924922,0.00209755101241,-0.00389732397161,-0.0183199103922,-0.0251470506191,-0.0053450204432,0.0,-0.0286860056221,-0.0547515973449,-0.0931215807796,-0.0518572442234,-0.00446118274704,0.0157257020473,-0.00097904948052,0.0324904024601,0.00289322901517,-0.00241171894595,4.45605364803e-05,0.00520396558568,0.00113260699436,-0.00791254080832,0.0274624340236,0.0,0.000999887124635,-0.000798883847892,-0.0012127518421,0.032822843641,0.00042476769886,-0.00687995459884,-0.0164261683822,0.0231556110084,0.00309823965654,-0.0140362484381,-0.0469063781202,0.0117666264996,0.00291005941108,-0.00537635711953,-0.0107877375558,0.0,0.00213928637095,0.000634787313174,-0.0355578660965
1624449124136410985,1863,1624449128147483648,iri_wam_link_base,4,-0.0133479889482,0.0817127674818,0.178113847971,0.274556159973,-0.0174217894673,0.0826066657901,0.181644201279,0.281220495701,-0.0159225370735,0.0847036018968,0.185062915087,0.287386566401,-0.0110786873847,0.0872818231583,0.186559125781,0.284127801657,-0.391806870699,-0.369992852211,-0.372345894575,-0.387197196484,-0.39336335659,-0.374789118767,-0.37009319663,-0.382318764925,-0.390384078026,-0.38029396534,-0.380284696817,-0.384043186903,-0.389531821012,-0.390466243029,-0.389584481716,-0.388187766075,-0.290318012238,-0.303971946239,-0.304907917976,-0.302318811417,-0.197213590145,-0.201955571771,-0.204807266593,-0.207282438874,-0.10113094002,-0.101887486875,-0.105199947953,-0.110454551876,-0.00535290688276,0.000677863135934,-0.00366190634668,-0.0182580426335,0.0383020751178,0.0462077409029,0.0541546791792,0.059853669256,-0.00854913331568,0.0162705536932,0.0200773589313,0.000566078640986,0.00253466470167,0.00775466347113,0.00995513051748,0.00600620405748,0.0,0.00328433816321,0.00581546314061,0.00842145550996,0.0133342379704,-0.00544626964256,-0.0234435107559,0.000815858540591,-0.0534344613552,-0.0031157033518,0.00339299906045,-0.00413539307192,-0.03724418208,0.0149200065061,0.000531349913217,-0.00548954727128,0.0,0.0289277154952,0.000797692744527,0.000124222075101,-0.00057302438654,-0.00447733746842,-0.000264205649728,0.0136882038787,-0.0181218646467,-0.00309419818223,0.010150546208,0.0373482368886,-0.0090193906799,-4.01384240831e-05,0.0064387107268,0.0143055077642,0.0,0.00523335579783,0.00138519296888,-0.000451006286312
1624449124186622426,1864,1624449128147483648,iri_wam_link_base,4,-0.0133479889482,0.0817127674818,0.178113847971,0.274556159973,-0.0174217894673,0.0826066657901,0.181644201279,0.281220495701,-0.0159225370735,0.0847036018968,0.185062915087,0.287386566401,-0.0110786873847,0.0872818231583,0.186559125781,0.284127801657,-0.391806870699,-0.369992852211,-0.372345894575,-0.387197196484,-0.39336335659,-0.374789118767,-0.37009319663,-0.382318764925,-0.390384078026,-0.38029396534,-0.380284696817,-0.384043186903,-0.389531821012,-0.390466243029,-0.389584481716,-0.388187766075,-0.290318012238,-0.303971946239,-0.304907917976,-0.302318811417,-0.197213590145,-0.201955571771,-0.204807266593,-0.207282438874,-0.10113094002,-0.101887486875,-0.105199947953,-0.110454551876,-0.00535290688276,0.000677863135934,-0.00366190634668,-0.0182580426335,0.0383020751178,0.0462077409029,0.0541546791792,0.059853669256,-0.00854913331568,0.0162705536932,0.0200773589313,0.000566078640986,0.00253466470167,0.00775466347113,0.00995513051748,0.00600620405748,0.0,0.00328433816321,0.00581546314061,0.00842145550996,0.0133342379704,-0.00544626964256,-0.0234435107559,0.000815858540591,-0.0534344613552,-0.0031157033518,0.00339299906045,-0.00413539307192,-0.03724418208,0.0149200065061,0.000531349913217,-0.00548954727128,0.0,0.0289277154952,0.000797692744527,0.000124222075101,-0.00057302438654,-0.00447733746842,-0.000264205649728,0.0136882038787,-0.0181218646467,-0.00309419818223,0.010150546208,0.0373482368886,-0.0090193906799,-4.01384240831e-05,0.0064387107268,0.0143055077642,0.0,0.00523335579783,0.00138519296888,-0.000451006286312
1624449124236396229,1865,1624449128147483648,iri_wam_link_base,4,-0.0177450180054,0.0762272179127,0.171959191561,0.26767089963,-0.020199354738,0.0795499011874,0.179006889462,0.281183004379,-0.0168985947967,0.0831648781896,0.183690041304,0.287004292011,-0.01221193932,0.0863472893834,0.185647860169,0.283188313246,-0.393000990152,-0.367074131966,-0.370893776417,-0.387289792299,-0.377021074295,-0.374221771955,-0.370774954557,-0.382007092237,-0.383933693171,-0.382018208504,-0.380359590054,-0.383354365826,-0.388949155807,-0.39155882597,-0.389677494764,-0.388201624155,-0.289024293423,-0.303478419781,-0.3041061759,-0.304211616516,-0.194279804826,-0.201203376055,-0.205407753587,-0.210684895515,-0.0996853038669,-0.101647548378,-0.105733528733,-0.112118184566,-0.00511900894344,2.40784138441e-05,-0.00377811864018,-0.0182077288628,-0.0409506112337,-0.0510882697999,-0.0573198273778,-0.064124122262,-0.0258681476116,-0.0284684002399,-0.0245619323105,-0.000349165900843,-0.00909026525915,-0.0143305119127,-0.0127859106287,-0.00356021523476,-0.010554254055,-0.00870354287326,-0.00848684087396,-0.00874968618155,-0.0111211277544,0.0271827578545,0.0135239334777,-0.000862367567606,0.152199685574,0.00528384000063,-0.00634937919676,0.00290268426761,0.0600740201771,-0.0160582996905,-0.000697499082889,0.00641515990719,0.00542650418356,-0.0101754935458,-0.000866253394634,-0.000129063701024,0.0120487213135,0.00459633301944,0.00746682099998,-0.017628159374,0.027323063463,0.00700538326055,-0.00559248309582,-0.0316879153252,0.0134635642171,0.00223460607231,-0.00496936868876,-0.0154938194901,0.00217834906653,-0.006088857539,-0.00108231359627,0.000468584505143
