%time,field.header.seq,field.header.stamp,field.header.frame_id,field.size,field.x0,field.x1,field.x2,field.x3,field.x4,field.x5,field.x6,field.x7,field.x8,field.x9,field.x10,field.x11,field.x12,field.x13,field.x14,field.x15,field.y0,field.y1,field.y2,field.y3,field.y4,field.y5,field.y6,field.y7,field.y8,field.y9,field.y10,field.y11,field.y12,field.y13,field.y14,field.y15,field.z0,field.z1,field.z2,field.z3,field.z4,field.z5,field.z6,field.z7,field.z8,field.z9,field.z10,field.z11,field.z12,field.z13,field.z14,field.z15
1624449352236009157,4873,1624449352235443115,camera_rgb_optical_frame,4,-0.152412012219,-0.14616048336,-0.142541646957,-0.14280000329,-0.051951225847,-0.0518878437579,-0.0562947839499,-0.0661387965083,0.0524107441306,0.046855121851,0.0353891514242,0.0127850631252,0.152132868767,0.151508435607,0.138211205602,0.0821114331484,-0.162461131811,-0.0726475641131,0.0173050109297,0.107333339751,-0.181231826544,-0.0793402343988,0.0164189804345,0.112777747214,-0.181088492274,-0.0799005106091,0.0149333886802,0.112336821854,-0.16329857707,-0.074106708169,0.0108782658353,0.080223813653,0.977000057697,0.977054357529,0.983713209629,0.980000019073,0.974553287029,0.97999984026,0.983991920948,0.991000056267,0.974000096321,0.979999661446,0.980385899544,0.991000115871,0.977000057697,0.986847281456,0.991000056267,0.991000056267
1624449352357977254,4874,1624449352357312917,camera_rgb_optical_frame,4,-0.152133345604,-0.146205738187,-0.142558470368,-0.135229215026,-0.063853263855,-0.0545183122158,-0.0499803237617,-0.0481658615172,0.0254994127899,0.0419660769403,0.0453213490546,0.0391725040972,0.115024775267,0.15156185627,0.150127127767,0.102167382836,-0.164266675711,-0.0712373182178,0.0219447407871,0.112897776067,-0.178109437227,-0.0824040994048,0.0136203663424,0.112853974104,-0.18143863976,-0.0938899964094,0.00208684662357,0.110602796078,-0.180885732174,-0.113804087043,-0.0219857804477,0.0521454848349,0.980000019073,0.977000057697,0.984238922596,0.977000176907,0.974325478077,0.978725671768,0.981452286243,0.991000115871,0.974000096321,0.980048775673,0.980142891407,0.991000056267,0.974000036716,0.983060061932,0.990999996662,0.991000115871
1624449352464605442,4875,1624449352462707042,camera_rgb_optical_frame,4,-0.152132868767,-0.146115750074,-0.142566427588,-0.135257408023,-0.0658760815859,-0.0552965551615,-0.0504734702408,-0.0486790947616,0.024106098339,0.0412790849805,0.0446482077241,0.0377214923501,0.114097155631,0.151658594608,0.150065720081,0.101365149021,-0.162833347917,-0.0702022388577,0.0225660577416,0.113095156848,-0.18119700253,-0.0830613970757,0.0134144825861,0.11258842051,-0.18137408793,-0.0942608341575,0.001564847189,0.108929976821,-0.180885732174,-0.114172697067,-0.0218242388219,0.0526645705104,0.977000057697,0.97702229023,0.984448492527,0.977000176907,0.974000036716,0.979516506195,0.981816112995,0.991000056267,0.974000036716,0.979823768139,0.980082452297,0.990999996662,0.974000096321,0.983125627041,0.991000056267,0.991000056267
1624449352546380416,4876,1624449352546046972,camera_rgb_optical_frame,4,-0.153377786279,-0.146260604262,-0.14279666543,-0.142426684499,-0.0663589835167,-0.0561812222004,-0.0527243390679,-0.055097207427,0.0238679647446,0.0406190268695,0.043177742511,0.0347505584359,0.114097155631,0.151611626148,0.150065720081,0.102167382836,-0.163955569267,-0.0739319473505,0.0162957757711,0.106586679816,-0.18128618598,-0.0846599861979,0.011288208887,0.112595848739,-0.181460991502,-0.0947100222111,0.00092119560577,0.109231479466,-0.180885732174,-0.11364030838,-0.0221248846501,0.0521454848349,0.980000019073,0.977126181126,0.985154688358,0.980000019073,0.974498033524,0.97705167532,0.982089161873,0.991000056267,0.974000096321,0.980126738548,0.978165924549,0.991000056267,0.974000096321,0.98290091753,0.991000056267,0.991000115871
1624449352647237458,4877,1624449352646928071,camera_rgb_optical_frame,4,-0.152133345604,-0.147193342447,-0.142718225718,-0.141665011644,-0.0513720698655,-0.0507295168936,-0.0532184839249,-0.0611132122576,0.0529124587774,0.0488658323884,0.0416870079935,0.0242763757706,0.152287945151,0.151593372226,0.14682431519,0.0943961963058,-0.163333341479,-0.073957465589,0.01543554198,0.104911185801,-0.181197986007,-0.0802168920636,0.0157388970256,0.114430658519,-0.180823236704,-0.0814510136843,0.0133062796667,0.112816594541,-0.163453653455,-0.0780702084303,0.0061206407845,0.0734342858195,0.980000019073,0.982709228992,0.984297215939,0.977000117302,0.974000096321,0.979025781155,0.983192980289,0.990973114967,0.972659707069,0.979999661446,0.980437874794,0.994000136852,0.977000057697,0.986804783344,0.994000017643,0.994000136852
1624449352724657177,4878,1624449352724299907,camera_rgb_optical_frame,4,-0.154000014067,-0.146387711167,-0.14284157753,-0.14280000329,-0.0671244412661,-0.0565841458738,-0.0532624423504,-0.05627624318,0.0239498224109,0.0404380187392,0.042652208358,0.0332303456962,0.115024767816,0.151734188199,0.150202900171,0.100987628102,-0.163333341479,-0.0739255473018,0.0157362092286,0.105466678739,-0.181263625622,-0.0845976993442,0.0112604666501,0.112723991275,-0.181442067027,-0.0944620668888,0.00117936555762,0.108841829002,-0.180885732174,-0.112987875938,-0.0209227632731,0.0528533346951,0.980000019073,0.977217376232,0.986074984074,0.980000019073,0.976034879684,0.97728741169,0.982493758202,0.991000115871,0.974000036716,0.980043590069,0.980131089687,0.991000115871,0.974000036716,0.981094837189,0.9907117486,0.991000056267
1624449352790476586,4879,1624449352790234088,camera_rgb_optical_frame,4,-0.153377786279,-0.146897137165,-0.142687469721,-0.138020634651,-0.0658795982599,-0.0557348243892,-0.0512763150036,-0.0507516115904,0.0245968736708,0.0411137528718,0.0440686456859,0.0362447015941,0.115082383156,0.151524320245,0.150192439556,0.101616829634,-0.164577782154,-0.072151042521,0.0203927624971,0.111967302859,-0.181196972728,-0.083850286901,0.0124899130315,0.112547338009,-0.181087523699,-0.0945430546999,0.000869837414939,0.107569620013,-0.180978581309,-0.114104233682,-0.0220371298492,0.0522241331637,0.980000019073,0.983018696308,0.985142707825,0.977000057697,0.974000036716,0.97999972105,0.982216536999,0.991000056267,0.974000036716,0.980173885822,0.980064153671,0.991000115871,0.974500000477,0.983052313328,0.990733742714,0.991000115871
1624449352875051656,4880,1624449352874732971,camera_rgb_optical_frame,4,-0.154000014067,-0.146179422736,-0.142687171698,-0.137245252728,-0.0655078664422,-0.0554201602936,-0.0510558150709,-0.0502145700157,0.0242012664676,0.0410624518991,0.0440986417234,0.0363222137094,0.114097155631,0.151370063424,0.150065720081,0.101365149021,-0.163333341479,-0.0709757879376,0.021644262597,0.113052867353,-0.177958682179,-0.0825930759311,0.0132071776316,0.113193459809,-0.181513756514,-0.0946450233459,0.000584066321608,0.107392571867,-0.180885732174,-0.115057334304,-0.0236184559762,0.052664577961,0.980000019073,0.977096617222,0.985076129436,0.977000057697,0.97508841753,0.979125142097,0.982443749905,0.991000056267,0.974000036716,0.979963541031,0.980061709881,0.991000056267,0.974000096321,0.982492506504,0.991000056267,0.991000056267
1624449352941145613,4881,1624449352940866947,camera_rgb_optical_frame,4,-0.151667624712,-0.146404206753,-0.142735153437,-0.142362862825,-0.0638423785567,-0.0554933734238,-0.0528842620552,-0.056281670928,0.0255022477359,0.0411573573947,0.0429731570184,0.0334032252431,0.115024775267,0.151647403836,0.150216296315,0.100987628102,-0.162833347917,-0.0736190229654,0.0157124623656,0.105143807828,-0.178102225065,-0.0837555006146,0.0114463260397,0.113317362964,-0.181581571698,-0.0947470664978,0.000510977755766,0.108332954347,-0.180885732174,-0.114162176847,-0.0229883007705,0.0528533384204,0.977000057697,0.977000057697,0.984772086143,0.977000057697,0.975044906139,0.978957772255,0.982886016369,0.991000056267,0.974000036716,0.980111837387,0.978333115578,0.991000056267,0.974000036716,0.980173826218,nan,0.991000056267
1624449353011175630,4882,1624449353010324954,camera_rgb_optical_frame,4,-0.152133345604,-0.146423518658,-0.142816022038,-0.14280000329,-0.0640376359224,-0.055591005832,-0.0529627278447,-0.0563288629055,0.0254101082683,0.0410598516464,0.0428849756718,0.0332083441317,0.115024767816,0.151535332203,0.150234431028,0.100987628102,-0.163333341479,-0.0738506317139,0.0157687719911,0.105466678739,-0.17791454494,-0.0837725326419,0.0112894419581,0.112466201186,-0.181495532393,-0.0946143865585,0.000695320835803,0.108871169388,-0.180885732174,-0.113884791732,-0.0227649454027,0.0528533384204,0.980000019073,0.977000057697,0.985420107841,0.980000019073,0.974143385887,0.978124201298,0.982699334621,0.991000056267,0.974000036716,0.980169773102,0.980065464973,0.991000056267,0.974000036716,0.983064293861,nan,0.991000056267
