%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1624444971021115741,0.00447696447372,-1.38097143173,0.0408717095852,-0.714089605583,-0.0043209405444,0.0148275652462,0.700439475729
1624444971071084145,0.00447696447372,-1.38097143173,0.0408717095852,-0.714089605583,-0.0043209405444,0.0148275652462,0.700439475729
1624444971121113447,0.00454894406721,-1.3812674284,0.0415447503328,-0.714207977924,-0.00836408539354,0.0136855997763,0.700507655302
1624444971171006616,0.00454894406721,-1.3812674284,0.0415447503328,-0.714207977924,-0.00836408539354,0.0136855997763,0.700507655302
1624444971221092578,0.00295953918248,-1.38278269768,0.0481251180172,-0.717035603285,-0.00719619711028,0.0176781473157,0.697967612693
1624444971270943589,0.00295953918248,-1.38278269768,0.0481251180172,-0.717035603285,-0.00719619711028,0.0176781473157,0.697967612693
1624444971321141523,0.00539200473577,-1.38360953331,0.0514577627182,-0.718552073349,-0.0067332158736,0.0203896030331,0.69665368526
1624444971371070101,0.00539200473577,-1.38360953331,0.0514577627182,-0.718552073349,-0.0067332158736,0.0203896030331,0.69665368526
1624444971421182809,0.00342107983306,-1.38340425491,0.0516387820244,-0.718407648593,-0.00731175068779,0.0172877786915,0.696692142744
1624444971470978220,0.00342107983306,-1.38340425491,0.0516387820244,-0.718407648593,-0.00731175068779,0.0172877786915,0.696692142744
1624444971521256863,0.00163387088105,-1.38321089745,0.0500384569168,-0.717758256713,-0.00760855474838,0.0163306935336,0.697370390742
1624444971571027589,0.00213253777474,-1.38313806057,0.0502630770206,-0.717781192922,-0.00731691910018,0.016039403414,0.69724995331
1624444971620981805,0.00213253777474,-1.38313806057,0.0502630770206,-0.717781192922,-0.00731691910018,0.016039403414,0.69724995331
1624444971671151379,0.0012857747497,-1.38300144672,0.0504214167595,-0.71775057391,-0.00654123987644,0.0148305539688,0.697172571432
1624444971721036994,0.000628560082987,-1.38289391994,0.0505299717188,-0.717725957878,-0.00600479873012,0.0138364467338,0.697115055424
1624444971771027629,0.000628560082987,-1.38289391994,0.0505299717188,-0.717725957878,-0.00600479873012,0.0138364467338,0.697115055424
1624444971821081791,0.000102276302641,-1.38280749321,0.0506074428558,-0.717707050765,-0.00557560502486,0.0130412690097,0.697068766645
1624444971871173193,-0.000301272113575,-1.38279211521,0.0507302731276,-0.717720341443,-0.00592433005829,0.0124102940312,0.697042944556
1624444971921010855,-0.000301272113575,-1.38279211521,0.0507302731276,-0.717720341443,-0.00592433005829,0.0124102940312,0.697042944556
1624444971971059920,-0.000662811333314,-1.38272750378,0.0508032143116,-0.717706942209,-0.00552311089186,0.0119071123195,0.697007789745
1624444972021029988,-0.000303791690385,-1.38260877132,0.0500345230103,-0.717435152071,-0.00551512234023,0.0121279773331,0.697275538334
1624444972071000218,-0.000303791690385,-1.38260877132,0.0500345230103,-0.717435152071,-0.00551512234023,0.0121279773331,0.697275538334
1624444972121045315,4.02502773795e-05,-1.38249886036,0.0493807941675,-0.717199380211,-0.00542896441433,0.0123189235969,0.697502308767
1624444972170985360,4.02502773795e-05,-1.38249886036,0.0493807941675,-0.717199380211,-0.00542896441433,0.0123189235969,0.697502308767
1624444972221073576,4.02502773795e-05,-1.38249886036,0.0493807941675,-0.717199380211,-0.00542896441433,0.0123189235969,0.697502308767
1624444972271008669,4.02502773795e-05,-1.38249886036,0.0493807941675,-0.717199380211,-0.00542896441433,0.0123189235969,0.697502308767
1624444972321053502,-0.00108359858859,-1.38252139091,0.0495399534702,-0.717237329472,-0.00525337850228,0.0117858684828,0.697457675104
1624444972371025464,-0.00108359858859,-1.38252139091,0.0495399534702,-0.717237329472,-0.00525337850228,0.0117858684828,0.697457675104
1624444972421085331,-0.00108359858859,-1.38252139091,0.0495399534702,-0.717237329472,-0.00525337850228,0.0117858684828,0.697457675104
1624444972470972696,-0.00108359858859,-1.38252139091,0.0495399534702,-0.717237329472,-0.00525337850228,0.0117858684828,0.697457675104
1624444972521061503,-0.0013073812006,-1.38249051571,0.0496429800987,-0.717257970472,-0.00499475444242,0.0114478156721,0.697405319285
1624444972571038502,-0.00147378072143,-1.38256680965,0.0503802448511,-0.717507474132,-0.00477902831901,0.0111945002732,0.69712720961
1624444972620964074,-0.00147378072143,-1.38256680965,0.0503802448511,-0.717507474132,-0.00477902831901,0.0111945002732,0.69712720961
