%time,field.header.seq,field.header.stamp,field.header.frame_id,field.size,field.x0,field.x1,field.x2,field.x3,field.x4,field.x5,field.x6,field.x7,field.x8,field.x9,field.x10,field.x11,field.x12,field.x13,field.x14,field.x15,field.x16,field.x17,field.x18,field.x19,field.x20,field.x21,field.x22,field.x23,field.x24,field.x25,field.x26,field.x27,field.x28,field.x29,field.x30,field.x31,field.x32,field.x33,field.x34,field.x35,field.x36,field.x37,field.x38,field.x39,field.x40,field.x41,field.x42,field.x43,field.x44,field.x45,field.x46,field.x47,field.x48,field.y0,field.y1,field.y2,field.y3,field.y4,field.y5,field.y6,field.y7,field.y8,field.y9,field.y10,field.y11,field.y12,field.y13,field.y14,field.y15,field.y16,field.y17,field.y18,field.y19,field.y20,field.y21,field.y22,field.y23,field.y24,field.y25,field.y26,field.y27,field.y28,field.y29,field.y30,field.y31,field.y32,field.y33,field.y34,field.y35,field.y36,field.y37,field.y38,field.y39,field.y40,field.y41,field.y42,field.y43,field.y44,field.y45,field.y46,field.y47,field.y48,field.z0,field.z1,field.z2,field.z3,field.z4,field.z5,field.z6,field.z7,field.z8,field.z9,field.z10,field.z11,field.z12,field.z13,field.z14,field.z15,field.z16,field.z17,field.z18,field.z19,field.z20,field.z21,field.z22,field.z23,field.z24,field.z25,field.z26,field.z27,field.z28,field.z29,field.z30,field.z31,field.z32,field.z33,field.z34,field.z35,field.z36,field.z37,field.z38,field.z39,field.z40,field.z41,field.z42,field.z43,field.z44,field.z45,field.z46,field.z47,field.z48
1624448351200359300,1,1624448351200125932,camera_rgb_optical_frame,7,-0.147280976176,-0.14974360168,-0.147797703743,-0.145851790905,-0.142833188176,-0.141884759068,-0.132091119885,-0.0977254807949,-0.0978501662612,-0.096915319562,-0.0954405367374,-0.0933287292719,-0.0907986760139,-0.0857339128852,-0.0470070764422,-0.0470162704587,-0.0465728677809,-0.0456663072109,-0.0442425124347,-0.0422472879291,-0.0393600352108,0.00371059356257,0.00336503121071,0.00330642913468,0.00359068764374,0.00427227467299,0.00541206309572,0.00701283104718,0.0544268190861,0.0534593723714,0.0528428629041,0.0524503514171,0.0523288585246,0.0526104345918,0.0533837042749,0.105143487453,0.103202775121,0.102155297995,0.101038999856,0.0999823734164,0.0993171185255,0.0997545793653,0.151736915112,0.152052953839,0.151536554098,0.149567976594,0.147244527936,0.144921079278,0.14228476584,-0.171671435237,-0.124739259481,-0.077005431056,-0.0292716026306,0.0184036996216,0.0661641657352,0.112419061363,-0.181455180049,-0.128930062056,-0.0792849361897,-0.0307103320956,0.0173750687391,0.0652182102203,0.11285752058,-0.181014239788,-0.130240872502,-0.0804939121008,-0.0316598638892,0.0165886990726,0.0644760727882,0.111998744309,-0.181396186352,-0.130525261164,-0.080789975822,-0.0320239104331,0.0161635130644,0.0640986561775,0.111767366529,-0.180917575955,-0.129674032331,-0.0801168084145,-0.0318093150854,0.0159906130284,0.0639876574278,0.112775430083,-0.181726917624,-0.12713649869,-0.0781939178705,-0.0310871507972,0.0156205985695,0.0630859285593,0.113783493638,-0.163463100791,-0.118951119483,-0.0744352117181,-0.0299659688026,0.0144930016249,0.0589519739151,0.103393338621,0.98500007391,0.98400747776,0.986001610756,0.987995743752,0.990342497826,0.988162815571,0.983666718006,0.984593868256,0.985099732876,0.990893959999,0.998455941677,1.0,1.0,1.0,0.983236074448,0.986650764942,0.98768466711,0.98783904314,0.992250442505,1.0,1.0,0.982999920845,0.987655162811,0.986362218857,0.989822208881,0.990999758244,0.996503591537,1.0,0.98299998045,0.983214259148,0.985043287277,0.985763728619,0.990999817848,0.997087240219,1.0,0.982999920845,0.985029101372,0.989155888557,0.995240330696,1.0,1.0,1.0,0.98500007391,0.985952436924,0.987216114998,0.990530014038,0.993583083153,0.996636152267,0.996000051498
1624448351315041315,2,1624448351314888954,camera_rgb_optical_frame,7,-0.151148349047,-0.14819984138,-0.145709872246,-0.144391998649,-0.143144622445,-0.141898855567,-0.13205742836,-0.118011489511,-0.107730306685,-0.101925879717,-0.0981626808643,-0.0950788259506,-0.091603949666,-0.0857430100441,-0.0716687366366,-0.0627840086818,-0.0561006627977,-0.0512540154159,-0.0474040620029,-0.0436951108277,-0.0394238755107,-0.0249641276896,-0.015636337921,-0.00843875110149,-0.0033486476168,0.000411711662309,0.00365144386888,0.006892983336,0.0217409357429,0.0336415395141,0.0413306429982,0.045886464417,0.0487481094897,0.0509961917996,0.0532053150237,0.0684472173452,0.0871309190989,0.0942333266139,0.0968157425523,0.0976980775595,0.0983799025416,0.0995176434517,0.115151435137,0.152201578021,0.151656001806,0.149445101619,0.146848544478,0.145307689905,0.142284780741,-0.155843108892,-0.110973596573,-0.0660815089941,-0.0211276765913,0.0238281283528,0.0687840208411,0.112216874957,-0.178309172392,-0.1230321154,-0.0737349167466,-0.0264327134937,0.0201393384486,0.0663402304053,0.112045958638,-0.181546211243,-0.129110768437,-0.0793933197856,-0.0310076009482,0.0168217066675,0.0643916204572,0.111675404012,-0.181466832757,-0.132471442223,-0.0837200060487,-0.0350260734558,0.0137634715065,0.0627291351557,0.11172105372,-0.181175872684,-0.135588154197,-0.0879891812801,-0.0391401574016,0.0105291176587,0.0610403902829,0.112596936524,-0.181288152933,-0.140716120601,-0.093508400023,-0.044074498117,0.00645276485011,0.0583063811064,0.113472811878,-0.181620970368,-0.152479782701,-0.101253814995,-0.0501021891832,0.0010500572389,0.0522595532238,0.103393338621,0.985750079155,0.987556815147,0.990250825882,0.988550126553,0.987300038338,0.985721290112,0.985428512096,0.985084712505,0.986338615417,0.993608832359,1.0,1.0,1.0,1.0,0.983776450157,0.987702131271,0.987898588181,0.987768352032,0.993340671062,1.0,1.0,0.983167827129,0.983793914318,0.986544847488,0.986941099167,0.990999877453,0.996051073074,1.0,0.983000040054,0.983271479607,0.9853733778,0.984920859337,0.989809632301,0.99680185318,1.0,0.983000040054,0.985061168671,0.985473513603,0.993598043919,0.999319016933,1.0,1.0,0.98299998045,0.986500024796,0.986320137978,0.988000035286,0.990799546242,0.99569606781,0.996000051498
1624448351381382796,3,1624448351381119012,camera_rgb_optical_frame,7,-0.150910675526,-0.148007795215,-0.145267382264,-0.14334949851,-0.142519801855,-0.141696333885,-0.132095783949,-0.118713073432,-0.10784727335,-0.101695686579,-0.0976738259196,-0.0946835353971,-0.0914209261537,-0.0857674703002,-0.0722603276372,-0.0629725530744,-0.0559942685068,-0.0509665831923,-0.0471195988357,-0.0435363613069,-0.0394390448928,-0.0254081878811,-0.0157883297652,-0.00834226049483,-0.00307863182388,0.000708080246113,0.00383412977681,0.00688937865198,0.0214449372143,0.0335696823895,0.041492190212,0.0462862364948,0.0491964221001,0.051275420934,0.0532178021967,0.0682981237769,0.0871299207211,0.0944551080465,0.0975349545479,0.0985159575939,0.0988533273339,0.0995462238789,0.115151435137,0.152196779847,0.151663377881,0.150882527232,0.148479118943,0.146075710654,0.14228476584,-0.154662296176,-0.109969571233,-0.0652596279979,-0.0205023176968,0.0242894422263,0.069077424705,0.112249806523,-0.178200632334,-0.122566714883,-0.0732001364231,-0.0259259752929,0.0205937251449,0.0667151212692,0.112207889557,-0.181594461203,-0.128896534443,-0.0790482237935,-0.0305951721966,0.0172963105142,0.0649814605713,0.112534143031,-0.181490525603,-0.132376715541,-0.0835010483861,-0.0347028002143,0.0142052220181,0.0633802786469,0.112860396504,-0.181437239051,-0.13561873138,-0.0878764763474,-0.0389202050865,0.0108471056446,0.0614740215242,0.113186649978,-0.181572258472,-0.140784516931,-0.0934659093618,-0.0439486503601,0.00662938272581,0.058482054621,0.113512910903,-0.181620955467,-0.152481153607,-0.10125400871,-0.0500378683209,0.00113702088129,0.052311912179,0.103393338621,0.984200119972,0.987903118134,0.991401016712,0.992123544216,0.990973234177,0.985959947109,0.985714316368,0.984993696213,0.98577862978,0.99365067482,1.0,1.0,1.0,1.0,0.983542919159,0.987265944481,0.987790882587,0.9880002141,0.99342417717,1.0,1.0,0.983116745949,0.983753681183,0.986532568932,0.986902475357,0.990999817848,0.996484935284,1.0,0.982999920845,0.983315587044,0.985362350941,0.985236227512,0.990999937057,0.996715903282,1.0,0.983000040054,0.985044777393,0.986030995846,0.993822693825,1.0,1.0,1.0,0.983000040054,nan,0.985905826092,0.9888843894,0.992364108562,0.995843887329,0.996000051498
1624448351463563717,4,1624448351463413000,camera_rgb_optical_frame,7,-0.151033341885,-0.148156836629,-0.145684272051,-0.144442290068,-0.142721518874,-0.142152518034,-0.13201905787,-0.118030704558,-0.107758723199,-0.101935915649,-0.0981465950608,-0.0949623510242,-0.0916280895472,-0.0857211798429,-0.0718706548214,-0.0629114359617,-0.0561540797353,-0.0512458309531,-0.0473532043397,-0.0436762981117,-0.0394108220935,-0.0253530219197,-0.0158622823656,-0.00852312892675,-0.00332944444381,0.000471660896437,0.00368691235781,0.00689953844994,0.0211592577398,0.0333384536207,0.0412532910705,0.0459795221686,0.0488823801279,0.051052749157,0.0532098971307,0.0676859989762,0.086803548038,0.094218313694,0.0971118584275,0.0980255901814,0.0984318032861,0.0995202586055,0.114215239882,0.151971429586,0.151704564691,0.150224000216,0.147676318884,0.145128637552,0.14228476584,-0.155723810196,-0.110768482089,-0.0657857656479,-0.0207361914217,0.0242960490286,0.0693588256836,0.112184502184,-0.178522735834,-0.123025648296,-0.0735995918512,-0.0261919293553,0.0204529445618,0.0666310414672,0.111916609108,-0.181594833732,-0.129211783409,-0.0793950259686,-0.0308848768473,0.0170766189694,0.0647957772017,0.112302340567,-0.182259202003,-0.132831647992,-0.083883844316,-0.0350291766226,0.0139426281676,0.063173122704,0.112688064575,-0.181583493948,-0.135971754789,-0.0882795155048,-0.0392906107008,0.0105499494821,0.0612660087645,0.113073796034,-0.181408748031,-0.141192346811,-0.0939718708396,-0.0444037020206,0.00628176983446,0.0582671798766,0.113459520042,-0.181620940566,-0.153417050838,-0.10201189667,-0.0506341010332,0.000713654560968,0.0520614124835,0.103393338621,0.98500007391,0.988153457642,0.990217804909,0.988615095615,0.991161167622,0.986601948738,0.985142827034,0.984898686409,0.985699355602,0.99345433712,1.0,1.0,1.0,1.0,0.983530461788,0.987788021564,0.987803339958,0.98791962862,0.993370652199,1.0,1.0,0.98303514719,0.983991980553,0.986583411694,0.986847817898,0.990999877453,0.996611237526,1.0,0.983000040054,0.983326673508,0.985296010971,0.9854824543,0.990999937057,0.996978580952,1.0,0.98299998045,0.984951019287,0.986797630787,0.993700861931,1.0,1.0,1.0,0.982999920845,0.985000014305,0.985446333885,0.989637672901,0.992924690247,0.996211647987,0.996000051498
1624448351563727800,5,1624448351563462972,camera_rgb_optical_frame,7,-0.146677866578,-0.149888962507,-0.147490143776,-0.145106181502,-0.142821073532,-0.141784980893,-0.13201905787,-0.0971762686968,-0.0975833162665,-0.0966062918305,-0.0950750634074,-0.0931767821312,-0.090718112886,-0.0857200026512,-0.0464963726699,-0.0466617383063,-0.0462766364217,-0.0454110242426,-0.0440928675234,-0.0421906895936,-0.0394003205001,0.0041828439571,0.00370937469415,0.0035725007765,0.00380047876388,0.00440702587366,0.00544854300097,0.00691935932264,0.0548545829952,0.053743891418,0.0530567876995,0.0526334121823,0.0524719469249,0.0526584759355,0.0532390400767,0.105529554188,0.103354819119,0.102277345955,0.101204432547,0.100188881159,0.0994743779302,0.0995587259531,0.151735410094,0.151868507266,0.151493340731,0.149718090892,0.147604763508,0.145491436124,0.142284780741,-0.17112262547,-0.124596573412,-0.0768538340926,-0.0291103869677,0.0186376105994,0.0664262920618,0.112184502184,-0.181194767356,-0.128776699305,-0.0791205465794,-0.030520407483,0.0175769235939,0.0653018206358,0.112331368029,-0.181290119886,-0.130194917321,-0.0803312510252,-0.0314276181161,0.0168886687607,0.0648726820946,0.112628094852,-0.181214287877,-0.130381628871,-0.0805819034576,-0.031747482717,0.0165326856077,0.0646721571684,0.112924821675,-0.181069359183,-0.129535391927,-0.0798672661185,-0.0315130911767,0.0163173992187,0.0643584430218,0.113221548498,-0.181620970368,-0.126823335886,-0.0778386667371,-0.0307550188154,0.01589156501,0.0632226541638,0.113518275321,-0.1626855582,-0.118298299611,-0.0739090442657,-0.0295598842204,0.0147812245414,0.0591223351657,0.103393338621,0.987250089645,0.984700500965,0.986395895481,0.988000094891,0.990367591381,0.987464308739,0.985142827034,0.983894467354,0.985085964203,0.990431785583,0.998733222485,1.0,1.0,1.0,0.983147203922,0.986332893372,0.987535715103,0.987421274185,0.992308318615,1.0,1.0,0.982999920845,0.989091813564,0.986687898636,0.98776948452,0.990999758244,0.996784090996,1.0,0.983000040054,0.983194947243,0.985230028629,0.985820531845,0.990999817848,0.997537791729,1.0,0.98299998045,0.985004007816,0.988458931446,0.99646794796,1.0,1.0,1.0,0.98550003767,0.986656606197,0.988000035286,0.990570306778,0.993630051613,0.996689796448,0.996000051498
1624448351628540019,6,1624448351628257989,camera_rgb_optical_frame,7,-0.151033341885,-0.15020622313,-0.148104503751,-0.146002784371,-0.144948288798,-0.142765134573,-0.131384015083,-0.110795378685,-0.105545796454,-0.101700842381,-0.098512686789,-0.0956264957786,-0.0917807072401,-0.0851956903934,-0.0653346553445,-0.0594807304442,-0.0546403974295,-0.0507206022739,-0.0472643077374,-0.0435354933143,-0.0390064902604,-0.0197416953743,-0.012402064167,-0.00665941881016,-0.00246501993388,0.000825360126328,0.00390952639282,0.00718100136146,0.0258483365178,0.0362735874951,0.042869810015,0.0466945804656,0.0491212420166,0.0511672385037,0.053365200758,0.0714393332601,0.0887782648206,0.0951704829931,0.0972522944212,0.0977977886796,0.0982729792595,0.0995493978262,0.117023818195,0.152229651809,0.151781573892,0.149346321821,0.146544650197,0.144577503204,0.14228476584,-0.164166674018,-0.117779932916,-0.0714220702648,-0.0250642057508,0.021327920258,0.0676649138331,0.112212575972,-0.179845526814,-0.126158773899,-0.0768800601363,-0.0289847627282,0.0184621755034,0.0656916648149,0.112654574215,-0.180684760213,-0.130129545927,-0.0809546411037,-0.0324569605291,0.015813883394,0.0639849901199,0.111915543675,-0.180958256125,-0.132720038295,-0.0843519940972,-0.0357023254037,0.0132653312758,0.0625188574195,0.111771024764,-0.180812895298,-0.135440319777,-0.0880309790373,-0.0392656698823,0.0104309041053,0.0610540956259,0.112775027752,-0.181028589606,-0.140197381377,-0.0930659249425,-0.0437602847815,0.00666986219585,0.0584915876389,0.11377903074,-0.181620955467,-0.151254713535,-0.100275039673,-0.0493794120848,0.0015172411222,0.0524633675814,0.103393338621,0.985000014305,0.985478579998,0.986694395542,0.987910270691,0.989867508411,0.986824095249,0.986800014973,0.983960390091,0.985257387161,0.993451297283,1.0,1.0,1.0,1.0,0.983000040054,0.987102389336,0.987685799599,0.987955987453,0.993225932121,1.0,1.0,0.98299998045,0.984414339066,0.986943840981,0.987081944942,0.990999877453,0.996318817139,1.0,0.983000040054,0.983168303967,0.985153198242,0.985415518284,0.989742934704,0.996836781502,1.0,0.98299998045,0.985152184963,0.986592829227,0.993760704994,1.0,1.0,1.0,0.983000040054,0.985204219818,0.987541735172,0.988000035286,0.99064296484,0.99503070116,0.996000051498
1624448351697802027,7,1624448351697325944,camera_rgb_optical_frame,7,-0.151033341885,-0.150058850646,-0.147582620382,-0.145106375217,-0.143003791571,-0.141748264432,-0.131384015083,-0.110823825002,-0.105383783579,-0.101296797395,-0.0978600233793,-0.0947259739041,-0.0912363678217,-0.085217885673,-0.0653616040945,-0.0593556761742,-0.0543607585132,-0.0503109432757,-0.0468037091196,-0.0432533621788,-0.0390317887068,-0.0197629835457,-0.0123165566474,-0.00647962186486,-0.00221928022802,0.00107544485945,0.00405842065811,0.00715430406854,0.0258320812136,0.0363320559263,0.0429781079292,0.0468379966915,0.049266345799,0.0512572973967,0.0533403977752,0.0714289471507,0.0888345912099,0.095222003758,0.0973268151283,0.0978946462274,0.0983640179038,0.0995264947414,0.117023818195,0.152355358005,0.151748493314,0.149352625012,0.146621406078,0.1447776407,0.142284780741,-0.164166674018,-0.117787569761,-0.0714485645294,-0.0251095592976,0.0212466139346,0.0676307305694,0.112212575972,-0.179994359612,-0.126208052039,-0.0768793672323,-0.0289408955723,0.0185589082539,0.0658514201641,0.112711071968,-0.1808398664,-0.130170926452,-0.0809199437499,-0.0323335677385,0.0160784982145,0.0645049586892,0.112925887108,-0.180955260992,-0.132715836167,-0.0842959061265,-0.0355519317091,0.0135836917907,0.0631640329957,0.113140702248,-0.18083794415,-0.135441243649,-0.0879959091544,-0.0391619466245,0.010644168593,0.061426769942,0.113355524838,-0.180944547057,-0.140215307474,-0.0930845364928,-0.0437441207469,0.00672816112638,0.0585433579981,0.113570339978,-0.181620955467,-0.15139092505,-0.10038279742,-0.0494581572711,0.00146923889406,0.0524481572211,0.103393338621,0.985000014305,0.985413730145,0.98646479845,0.987515866756,0.988000035286,0.986397445202,0.986800014973,0.984701037407,0.985158860683,0.993000864983,1.0,1.0,1.0,1.0,0.983843922615,0.987711668015,0.987742543221,0.987952053547,0.993261098862,1.0,1.0,0.983069241047,0.984742760658,0.987060725689,0.986946940422,0.990999877453,0.99669611454,1.0,0.98299998045,0.983222961426,0.98498493433,0.985050261021,0.990999937057,0.996968448162,1.0,0.98299998045,0.984961569309,0.986704528332,0.99365490675,1.0,1.0,1.0,0.983000040054,0.987490475178,0.987306416035,0.988000035286,0.990637242794,0.995025157928,0.996000051498
1624448351776270698,8,1624448351775998115,camera_rgb_optical_frame,7,-0.151033341885,-0.149383366108,-0.147579863667,-0.145720914006,-0.143404081464,-0.141923427582,-0.131754457951,-0.117851309478,-0.108243115246,-0.10277505964,-0.0988415107131,-0.0953425168991,-0.0916171967983,-0.0855383053422,-0.0715306252241,-0.0629627332091,-0.0564357414842,-0.0515275672078,-0.0475072935224,-0.0436645448208,-0.0392887443304,-0.0248586572707,-0.0156414434314,-0.00847761053592,-0.00332572055049,0.000505464326125,0.00375506002456,0.00696081016213,0.0218108911067,0.0337332226336,0.0414924658835,0.0461968295276,0.0490998104215,0.0512185096741,0.0532103665173,0.0684788152575,0.0872709825635,0.0945174172521,0.0975207686424,0.09847843647,0.0988088026643,0.0994599238038,0.115151435137,0.152354463935,0.151785448194,0.150890395045,0.148484364152,0.146078333259,0.142284780741,-0.155723810196,-0.110748015344,-0.0657768324018,-0.0208087470382,0.0241330061108,0.0691146627069,0.112040482461,-0.178399547935,-0.122933782637,-0.0735460817814,-0.0262146182358,0.0203295778483,0.066377684474,0.111451782286,-0.181588083506,-0.129041492939,-0.079259082675,-0.030833221972,0.0170222390443,0.064614713192,0.11196745187,-0.181372642517,-0.13238504529,-0.0836155414581,-0.0348814241588,0.0139778880402,0.0630914717913,0.112483128905,-0.180951982737,-0.135510519147,-0.0879366099834,-0.0390548147261,0.0106792626902,0.0612901672721,0.11299879849,-0.181237027049,-0.140768423676,-0.0935655608773,-0.0440804883838,0.00650381064042,0.0583911314607,0.113514475524,-0.181620970368,-0.152760609984,-0.101476728916,-0.0502053909004,0.00102533935569,0.0522560700774,0.103393338621,0.98500007391,0.985189676285,0.986623167992,0.988000035286,0.989795744419,0.988255143166,0.985833346844,0.98507142067,0.986550867558,0.994004964828,1.0,1.0,1.0,1.0,0.983648002148,0.987801074982,0.987948656082,0.987929165363,0.993633210659,1.0,1.0,0.983090281487,0.984171628952,0.986535668373,0.986974596977,0.990999877453,0.996960937977,1.0,0.98299998045,0.983303129673,0.985596001148,0.985389173031,0.990999937057,0.996630907059,1.0,0.98299998045,0.985135495663,0.986625611782,0.993673026562,1.0,1.0,1.0,0.983000040054,0.987484037876,0.985866069794,0.988873004913,0.992356538773,0.995840072632,0.996000051498
1624448351854092169,9,1624448351853837013,camera_rgb_optical_frame,7,-0.14656715095,-0.149022877216,-0.14585724473,-0.14396572113,-0.143378704786,-0.14204891026,-0.131384015083,-0.0969846695662,-0.0970250815153,-0.0957868099213,-0.0944536924362,-0.0930529758334,-0.0905443802476,-0.0851712450385,-0.0463301762938,-0.0463059544563,-0.0458112321794,-0.0450092665851,-0.0438351146877,-0.0419043935835,-0.0389391221106,0.0043165255338,0.00394267961383,0.00385709735565,0.00406297063455,0.00462618330494,0.00570103898644,0.00729134399444,0.0549603924155,0.0539030469954,0.0532339736819,0.0527778714895,0.0525758340955,0.0527910217643,0.0535186342895,0.105616413057,0.103475145996,0.102397881448,0.101238697767,0.100108265877,0.0993685871363,0.0997459217906,0.151889696717,0.151983246207,0.151643693447,0.149670779705,0.147249951959,0.144829124212,0.14228476584,-0.17193287611,-0.12524035573,-0.0773789137602,-0.0294483434409,0.0185137819499,0.0664652511477,0.112212575972,-0.181676000357,-0.129343286157,-0.0796158239245,-0.030907927081,0.0172937195748,0.065110117197,0.11234048754,-0.182298451662,-0.130840986967,-0.0808331742883,-0.0318612605333,0.016458908096,0.0643410086632,0.1117901057,-0.181891366839,-0.130889028311,-0.0810146257281,-0.0321628414094,0.0160621628165,0.0640049055219,0.111725777388,-0.181199654937,-0.12980915606,-0.0801734551787,-0.0318376421928,0.0159476734698,0.0638906881213,0.112591855228,-0.181620955467,-0.126974448562,-0.0780323967338,-0.0309619493783,0.0156754888594,0.0630183070898,0.113457940519,-0.162849381566,-0.118435315788,-0.0740197151899,-0.0296532530338,0.0146979242563,0.0590491034091,0.103393338621,0.986500024796,0.988527476788,0.990440964699,0.988000035286,0.988000094891,0.986238062382,0.986800014973,0.983522474766,0.985228180885,0.989803254604,0.998192965984,1.0,1.0,1.0,0.983153402805,0.985983967781,0.987517118454,0.987931728363,0.992244422436,1.0,1.0,0.983000040054,0.987431585789,0.98673582077,0.987524628639,0.990999758244,0.996538162231,1.0,0.98299998045,0.983262598515,0.985258698463,0.985729277134,0.991007983685,0.997552752495,1.0,0.982999920845,0.985191404819,0.989086210728,0.99621284008,1.0,1.0,1.0,0.986500024796,0.986349225044,0.988000035286,0.990351438522,0.993474721909,0.996598064899,0.996000051498
1624448351944996838,10,1624448351944834947,camera_rgb_optical_frame,7,-0.151033341885,-0.149639502168,-0.147657826543,-0.145593002439,-0.143417641521,-0.142478063703,-0.13205742836,-0.110800862312,-0.105281889439,-0.101358965039,-0.0981090739369,-0.095062546432,-0.0917203500867,-0.0857684090734,-0.0653603374958,-0.0593282207847,-0.054387062788,-0.0504217781126,-0.0470031127334,-0.0435723774135,-0.0394649542868,-0.0197568051517,-0.0122836027294,-0.00643928628415,-0.00218786112964,0.00104424159508,0.00389890489168,0.00683850608766,0.0258504953235,0.0363899022341,0.0431013777852,0.0470653772354,0.0494690351188,0.0512852482498,0.0531419664621,0.0714580565691,0.0888913422823,0.0953895226121,0.0978789553046,0.0984812751412,0.0986310914159,0.099445424974,0.117023818195,0.152327865362,0.151686415076,0.15057964623,0.147946029902,0.145312413573,0.142356678843,-0.164166674018,-0.11782002449,-0.0714902579784,-0.0251649077982,0.0211459193379,0.067508533597,0.1122174263,-0.179926857352,-0.126304447651,-0.0769497901201,-0.0289561487734,0.0186165776104,0.0660669505596,0.113341107965,-0.181732386351,-0.130521133542,-0.0810482949018,-0.0323264747858,0.0162095874548,0.0648015812039,0.113469369709,-0.181423857808,-0.132999390364,-0.0843957811594,-0.0355110429227,0.0137466602027,0.063460431993,0.113597638905,-0.181363284588,-0.135656788945,-0.0880244076252,-0.0390685722232,0.0108276680112,0.0616958327591,0.11372590065,-0.181313976645,-0.140240058303,-0.0929764956236,-0.0435664989054,0.00693674664944,0.0587693415582,0.113854162395,-0.180684775114,-0.151012957096,-0.100075021386,-0.0491576753557,0.0017164752353,0.0525906272233,0.103446193039,0.985000014305,0.984114170074,0.986144959927,0.988000035286,0.987173676491,0.985016345978,0.985428512096,0.984816491604,0.985426604748,0.992885291576,1.0,1.0,1.0,1.0,0.983810782433,0.987309813499,0.987433075905,0.987713038921,0.993246138096,1.0,1.0,0.982999920845,0.984339296818,0.987110197544,0.986839354038,0.990999817848,0.996289074421,1.0,0.982999920845,0.98309969902,0.984568893909,0.985380291939,0.990999877453,0.997408032417,1.0,0.98299998045,0.985070407391,0.986543118954,0.993603467941,1.0,1.0,1.0,0.983000040054,0.987510979176,0.987591028214,0.989110827446,0.992312550545,0.995514273643,0.996500015259
