%time,field.header.seq,field.header.stamp,field.header.frame_id,field.size,field.x0,field.x1,field.x2,field.x3,field.x4,field.x5,field.x6,field.x7,field.x8,field.x9,field.x10,field.x11,field.x12,field.x13,field.x14,field.x15,field.y0,field.y1,field.y2,field.y3,field.y4,field.y5,field.y6,field.y7,field.y8,field.y9,field.y10,field.y11,field.y12,field.y13,field.y14,field.y15,field.z0,field.z1,field.z2,field.z3,field.z4,field.z5,field.z6,field.z7,field.z8,field.z9,field.z10,field.z11,field.z12,field.z13,field.z14,field.z15
1624449180281500081,3202,1624449180281219959,camera_rgb_optical_frame,4,-0.108865723014,-0.148395061493,-0.14265909791,-0.133690387011,-0.0220154691488,-0.0393297597766,-0.0447300560772,-0.0508399456739,0.0647480934858,0.0578215494752,0.0539085827768,0.0510912314057,0.151667624712,0.15195928514,0.151451602578,0.150520011783,-0.176790490746,-0.114996030927,-0.0244318991899,0.0642681494355,-0.183165326715,-0.095523878932,0.0010699427221,0.114083103836,-0.175511822104,-0.0850040987134,0.0101524433121,0.112516403198,-0.170277148485,-0.0791331380606,0.012027525343,0.103186674416,0.977000057697,0.981679618359,0.988076746464,0.994000017643,0.977000057697,0.982266008854,0.993819832802,0.991186201572,0.977000117302,0.983513116837,0.989938437939,0.991030931473,0.977000057697,0.984920680523,0.987727880478,0.994000017643
1624449180549414676,3203,1624449180548788070,camera_rgb_optical_frame,4,-0.107470005751,-0.147904351354,-0.143422558904,-0.137481585145,-0.0189537275583,-0.0381262674928,-0.0451086759567,-0.0529387257993,0.069867298007,0.0594616755843,0.0540528520942,0.0504659861326,0.151411354542,0.152052819729,0.151392415166,0.151493340731,-0.173068583012,-0.115809872746,-0.0258352737874,0.0635498464108,-0.18144287169,-0.0944819822907,0.00152678752784,0.113895490766,-0.177856266499,-0.0822019800544,0.0125289196149,0.113995172083,-0.15480530262,-0.0689985826612,0.0167956929654,0.102563813329,0.977000057697,0.982101559639,0.986991643906,0.991000115871,0.977000057697,0.982048809528,0.990999996662,0.986065685749,0.977000057697,0.983152210712,0.986095428467,0.98530459404,0.980818152428,0.983872532845,0.987047970295,0.988000035286
1624449180625134769,3204,1624449180624844074,camera_rgb_optical_frame,4,-0.106676198542,-0.150033846498,-0.145546868443,-0.141142874956,-0.0199586432427,-0.0396743714809,-0.0466555207968,-0.0543646328151,0.0667644590139,0.0579505227506,0.0529638007283,0.0495281890035,0.151667624712,0.151748195291,0.151032015681,0.151033341885,-0.180885732174,-0.117922879755,-0.0267358161509,0.0644552409649,-0.181746795774,-0.0967318117619,-0.000176458677743,0.113295286894,-0.181604996324,-0.0870811268687,0.0094665074721,0.113686397672,-0.170277148485,-0.0794542133808,0.011437217705,0.10225238651,0.974000036716,0.983420491219,0.986143290997,nan,0.9741538167,0.980449080467,0.988000035286,0.981789886951,0.974027693272,0.981263160706,0.983939766884,0.981890082359,0.977000057697,0.982305645943,0.983944475651,0.98500007391
1624449180731898541,3205,1624449180731717109,camera_rgb_optical_frame,4,-0.106676198542,-0.14524550736,-0.14296220243,-0.14020191133,-0.0199586357921,-0.0379346571863,-0.0450681447983,-0.0529955066741,0.0667645782232,0.0585336498916,0.0536197908223,0.0502159558237,0.151667624712,0.151684880257,0.150797694921,0.151033341885,-0.180885732174,-0.114838808775,-0.0239954479039,0.0668076202273,-0.181813359261,-0.0956090241671,0.000959941186011,0.113570697606,-0.181797191501,-0.086743876338,0.00987354386598,0.113820970058,-0.170277148485,-0.0794428437948,0.0114571396261,0.10225238651,0.974000036716,0.97668671608,0.984694957733,0.988000035286,0.974000036716,0.980252742767,0.988000035286,0.983979225159,0.974020838737,0.981788635254,0.984755396843,0.982958853245,0.977000057697,0.98208552599,0.983463287354,0.98500007391
1624449180823312903,3206,1624449180822976112,camera_rgb_optical_frame,4,-0.114681191742,-0.145271897316,-0.142930999398,-0.133301600814,-0.0255593489856,-0.0395814441144,-0.0449337735772,-0.0509080849588,0.0639146715403,0.0574392452836,0.0536854229867,0.0511791296303,0.152287945151,0.151738330722,0.151057094336,0.151493340731,-0.172370731831,-0.108591333032,-0.0219495333731,0.0630438178778,-0.18144287169,-0.093000613153,0.00242004310712,0.113620519638,-0.178309947252,-0.0843882933259,0.0110098030418,0.113336391747,-0.167175576091,-0.077252432704,0.0126710757613,0.102563813329,0.977000117302,0.977000117302,0.986141622066,0.987999975681,0.977000057697,0.981362521648,0.988000035286,0.985311150551,0.977000057697,0.981402993202,0.985629677773,0.984209537506,0.977000057697,0.982160210609,0.98470056057,0.988000035286
1624449180924495374,3207,1624449180924149990,camera_rgb_optical_frame,4,-0.114215962589,-0.148645594716,-0.143319144845,-0.13079239428,-0.0286478158087,-0.0416700802743,-0.0447334870696,-0.0476946085691,0.0573611147702,0.0553465746343,0.0537498891354,0.0532157346606,0.143107250333,0.151945382357,0.151170730591,0.151493340731,-0.171905487776,-0.109858259559,-0.0200200527906,0.0668076202273,-0.18144287169,-0.0934059172869,0.00328926672228,0.11551129818,-0.179058790207,-0.0856118202209,0.011071741581,0.115742117167,-0.171021535993,-0.0810543000698,0.0108674010262,0.102563813329,0.977000117302,0.981790781021,0.987674772739,0.988000035286,0.977000057697,0.981284976006,0.991000056267,0.990999996662,0.977000057697,0.982177495956,0.986822485924,0.991000056267,0.977000057697,0.983726203442,0.98589605093,0.988000035286
1624449181014200179,3208,1624449181013885974,camera_rgb_optical_frame,4,-0.11403504014,-0.147857397795,-0.143174514174,-0.131965339184,-0.0255919415504,-0.0401728153229,-0.0446189269423,-0.0492843464017,0.0633613094687,0.0573770031333,0.0541559681296,0.0523724593222,0.152133345604,0.152163550258,0.151493340731,0.150520011783,-0.171724557877,-0.110540054739,-0.0220406297594,0.06380533427,-0.181919828057,-0.0940541103482,0.0017760816263,0.113130539656,-0.17836214602,-0.0855326354504,0.0100685264915,0.112798698246,-0.17080001533,-0.0797828063369,0.0112319597974,0.102240011096,0.977000117302,0.981598556042,0.987212181091,0.994000077248,0.977000057697,0.982881724834,0.993939161301,0.991265952587,0.977000057697,0.983328402042,0.989967107773,0.991114497185,0.980000019073,0.9849999547,0.988000035286,0.994000017643
1624449181114396049,3209,1624449181114226102,camera_rgb_optical_frame,4,-0.150266677141,-0.14642766118,-0.142110601068,-0.0856266692281,-0.050579123199,-0.0434960201383,-0.0323418192565,-0.00597332511097,0.0507971197367,0.0553645156324,0.0622126609087,0.0741691440344,0.151667624712,0.151944309473,0.151658803225,0.150520011783,-0.161466673017,-0.0637877732515,0.0338304303586,0.110091432929,-0.180141285062,-0.0752098783851,0.0220579262823,0.112666323781,-0.179410248995,-0.0789683833718,0.0169448330998,0.11266425997,-0.168416202068,-0.078198261559,0.0120255267248,0.102240011096,0.980000019073,0.987201690674,0.993053078651,0.988000035286,0.977000057697,0.98613345623,0.993864536285,0.993935823441,0.977000057697,0.983410179615,0.992175936699,0.993964552879,0.977000057697,0.984823107719,0.989079117775,0.994000017643
1624449181219724574,3210,1624449181219361066,camera_rgb_optical_frame,4,-0.0978240668774,-0.147267878056,-0.142651557922,-0.129301920533,-0.0146992858499,-0.0360653400421,-0.0423697680235,-0.046500004828,0.068677328527,0.0600755736232,0.0557378418744,0.0537522137165,0.151667624712,0.151952460408,0.151493340731,0.150520011783,-0.173471793532,-0.119560077786,-0.0237015094608,0.0688980966806,-0.18144287169,-0.0962896868587,0.000817103660665,0.113116182387,-0.175516530871,-0.0849728956819,0.0101434253156,0.112724512815,-0.168416202068,-0.0782288014889,0.0120049873367,0.102240011096,0.977000057697,0.982044637203,0.987571656704,0.991000056267,0.977000057697,0.982770800591,0.993891000748,0.992048561573,0.977000117302,0.984093248844,0.989105761051,0.991539955139,0.977000057697,0.984876215458,0.988000035286,0.994000017643
1624449181347345227,3211,1624449181347109079,camera_rgb_optical_frame,4,-0.150266677141,-0.144717589021,-0.142059653997,-0.0828038156033,-0.0583735480905,-0.0443791039288,-0.0274067241699,0.00778800714761,0.0353644043207,0.0529814474285,0.0690238624811,0.0992402210832,0.129336193204,0.151916623116,0.151280492544,0.152413338423,-0.161466673017,-0.0628386437893,0.0359096862376,0.110091432929,-0.1790445894,-0.0779689997435,0.0190513208508,0.112713307142,-0.177058711648,-0.0890440866351,0.00555129349232,0.112885631621,-0.172138094902,-0.10669991374,-0.0206876918674,0.0653200000525,0.980000019073,0.985232651234,0.991936206818,0.988000035286,0.977000057697,0.985042452812,0.994000017643,0.993815243244,0.977000117302,0.981832444668,0.989040851593,0.993498146534,0.977000057697,0.983525454998,0.986611843109,0.994000017643
1624449181434211142,3212,1624449181434024095,camera_rgb_optical_frame,4,-0.105092018843,-0.147472977638,-0.143057480454,-0.141612544656,-0.0190393403172,-0.0383965820074,-0.0457060188055,-0.0548558533192,0.0673787072301,0.0586320199072,0.0534858442843,0.0495299585164,0.152133345604,0.152060106397,0.151487410069,0.151493340731,-0.17463979125,-0.11784171313,-0.0271230954677,0.0637103244662,-0.182201370597,-0.0965751484036,0.000621792627499,0.116088576615,-0.181360006332,-0.0868793129921,0.0100968396291,0.115204133093,-0.17080001533,-0.0796789377928,0.0114407436922,0.102563813329,0.974261105061,0.981890618801,0.986280202866,0.993499994278,0.975046813488,0.981468200684,0.992635190487,0.991000056267,0.973236680031,0.982672452927,0.986938178539,0.990210950375,0.980000019073,0.984173595905,0.987693727016,0.988000035286
1624449181543087620,3213,1624449181542737007,camera_rgb_optical_frame,4,-0.113983340561,-0.148775339127,-0.143222242594,-0.138740003109,-0.0248209312558,-0.0405645817518,-0.0458709225059,-0.0529649965465,0.0641827210784,0.057208865881,0.0532681420445,0.0504709556699,0.152287945151,0.151949167252,0.151263669133,0.151493340731,-0.173068583012,-0.111507698894,-0.0227918326855,0.0651228651404,-0.177669152617,-0.0928088277578,0.00232278113253,0.113925158978,-0.178115487099,-0.0843812450767,0.0109666287899,0.113888986409,-0.167175576091,-0.0775672867894,0.0120359882712,0.101622864604,0.977000057697,0.981188237667,0.985612750053,0.991000056267,0.977000117302,0.981150686741,0.990999996662,nan,0.977000057697,0.981393992901,0.986397743225,0.984347999096,0.977000057697,0.983565449715,0.985493302345,0.988000035286
1624449181682861106,3214,1624449181682526111,camera_rgb_optical_frame,4,-0.105029478669,-0.148444443941,-0.142953246832,-0.138740003109,-0.0190981291234,-0.0385321341455,-0.0451748855412,-0.0529446080327,0.0672100484371,0.0585889220238,0.05373044312,0.0504576414824,0.151667624712,0.151947334409,0.15105009079,0.151493340731,-0.174221590161,-0.116871118546,-0.0251931548119,0.0651228651404,-0.182039991021,-0.0963505357504,0.000452789594419,0.113784126937,-0.181314572692,-0.0869438275695,0.00957071967423,0.113781265914,-0.170277148485,-0.0796809345484,0.0109926499426,0.101622864604,0.974285960197,0.97909539938,0.983920931816,0.991000056267,0.974000036716,0.980880856514,0.990999996662,0.983766317368,0.974141776562,0.981854319572,0.985297858715,0.983422577381,0.977000057697,0.983652234077,0.984864354134,0.988000035286
1624449181773881679,3215,1624449181773703098,camera_rgb_optical_frame,4,-0.115068882704,-0.14558660984,-0.142746761441,-0.133850485086,-0.025909004733,-0.039729539305,-0.0448169633746,-0.0506508015096,0.0637850761414,0.0573944151402,0.0538592524827,0.0518585667014,0.152132868767,0.151662871242,0.151000991464,0.151493340731,-0.170897468925,-0.107044056058,-0.0206140168011,0.0635142996907,-0.181060239673,-0.0921466574073,0.00309231714346,0.113860316575,-0.175905406475,-0.0835746303201,0.0112696262076,0.11396920681,-0.166555255651,-0.0775160938501,0.0115916160867,0.100681908429,0.977000057697,0.977000117302,0.985178232193,0.987999975681,0.977000057697,0.980422973633,0.988000035286,0.984102666378,0.977000057697,0.981758475304,0.984777450562,0.983566462994,0.977000057697,0.98299986124,0.984474658966,0.988000035286
