nCOM,Ts,Th_stiffness_x,Th_stiffness_y,Th_stiffness_z,Th_damping_x,Th_damping_y,Th_damping_z,Th_z_sum
4,0.01,-322.732627893024,-190.004365687043,-405.469774233733,-4.49335802867629,-3.70483765945779,-4.8822067870927,0.0142422064092318
4,0.015,-110.795355166979,-41.9067718860935,-171.064668977914,-2.69730228192975,-1.80172385883352,-3.06510994400104,0.0351024193852816
4,0.02,-40.8688077406953,-40.1598259855994,-92.1925712547497,-1.55828874688848,-1.43711313363583,-2.27266849124925,0.0696770485639904
4,0.025,-21.6114665762319,-28.0111661096257,-60.2885402185887,-1.16537494080985,-1.21151944294284,-1.74121883568845,0.115493284428266
7,0.01,-115.94658413217,-88.2109882229859,-277.344355094328,-2.95978105191528,-2.92402737310179,-3.9399204783706,0.0986599953969129
7,0.015,-34.3211954210617,-96.260042593174,-186.486726470143,-1.69552196758452,-2.23719756284192,-3.05603141591385,0.148707855774087
7,0.02,-36.4956514813198,-52.456466346464,-108.62215726074,-1.26670004491642,-1.63281761158912,-2.31928978431549,0.253310332864615
7,0.025,-38.9912033112542,-42.2461069274069,-71.3930285095305,-1.39170254350626,-1.32926390010176,-1.90984039242849,0.382836543921633
