MdlSz,Ts,Th_stiffness_x,Th_stiffness_y,Th_stiffness_z,Th_damping_x,Th_damping_y,Th_damping_z,Th_z_sum
4,0.01,-325.805698268945,-166.198201548036,-395.400143197249,-4.48700933121679,-3.40893444142684,-4.81053655627432,0.0149295173626489
4,0.015,-123.226529844546,-84.5234093843459,-185.414897789435,-2.80067955737378,-2.33867052546708,-3.26314047948099,0.0323436593385433
4,0.02,-41.7998405537012,-39.1879707090799,-91.4967890838762,-1.72864429464933,-1.33085664353071,-2.2554123678956,0.0709542759848484
4,0.025,-25.2388592810316,-28.0144495257474,-56.534191401994,-1.22553988036623,-1.21307720180831,-1.69970519668226,0.116141632269178
7,0.01,-158.660823064454,-101.557234099259,-295.835820532978,-3.25292489651444,-2.94978411015342,-3.95719901343738,0.097232721019398
7,0.015,-49.6423578055095,-110.263224240436,-186.10638559137,-1.84224886601999,-2.29913281913723,-3.04048623739192,0.149269333678453
7,0.02,-33.7226490079406,-61.250953266567,-112.666988350644,-1.30517830699542,-1.57344986235728,-2.37441170020562,0.241072613515986
7,0.025,-35.4455096890202,-38.5822508603631,-71.7898387404352,-1.34224766167013,-1.18001195074768,-1.91081684023372,0.381432691809802
