Exps,Sim,NTraj,Ts,Hp,Wv,nSOM,nCOM,nNLM,nEps,mRw,Th_WQ,Th_WR,Th_WT,Th_ubound,Th_gbound
0,0,6,0.02,25,0,4,4,0,50,-100,1,0.141689134490178,0.416669944605552,0.00642311608336075,0.000590226676209113
0,1,6,0.02,25,0,4,4,0,60,-100,0.15328929432864,1,0.386795709519777,0.00341439602588966,0.00128865716838314
0,2,6,0.02,25,0.3,4,4,10,20,-100,0.650401302174217,0.876676070067119,1,0.00473426987139925,0.000561923787566861
0,0,6,0.025,20,0,4,4,0,100,-100,1,0.256546707160103,0.979324904907944,0.00533737775143503,0.000998028240546994
0,0,6,0.015,30,0,4,4,0,50,-100,1,0.160944509075868,0.664286280042835,0.00706538580530825,0.00018928700521253
0,0,13,0.02,25,0,4,4,0,25,-100,1,0.177324514417938,0.763335459257911,0.00517060277994342,0.000262781597204694
0,0,15,0.02,25,0,4,4,0,30,-100,1,0.106773710748774,0.479718949735769,0.00741922345581425,0.000671092736746081
