%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1625482236554294103,32867,1625482236544019313,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56323599291,0.15062876834,-0.00446998653661,2.03295064972,0.0030837758107,0.953677437252,0.00256862154703,0.0182629997347,-0.013576035201,-0.0228077068437,0.0,0.0,0.0,0.0,-0.371461883471,-11.4352290583,-0.369353699229,-5.84778243651,-0.109635518077,-0.121767117548,-0.0190597637659
1625482236557621982,32868,1625482236547430932,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56323599291,0.150655918442,-0.0044243744291,2.03295064972,0.0030837758107,0.953677437252,0.00256862154703,0.0182455981152,0.0135630994838,0.0227859748695,0.0,0.0,0.0,0.0,-0.416985738483,-11.4837600928,-0.410182040485,-5.86055654763,-0.108856149794,-0.125421250689,-0.00792325254258
1625482236655476695,32869,1625482236645210854,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56327251626,0.150655918442,-0.0044243744291,2.03295064972,0.00316284698533,0.953756508427,0.00246587668515,-0.0182564702389,0.0135711814165,0.0227995524973,0.0,0.0,0.0,0.0513577863386,-0.365877594244,-11.4838529034,-0.363773139841,-5.86230246618,-0.117370418815,-0.126716730372,-0.0280383631228
1625482236657842173,32870,1625482236647535625,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56323599291,0.15062876834,-0.00446998653661,2.03295064972,0.00316284698533,0.953756508427,0.00246587668515,0.0182347389329,-0.0135550271713,-0.0227724134037,0.0,0.0,0.0,0.0,-0.373247169793,-11.4354060321,-0.371140262216,-5.84948435605,-0.110022056361,-0.123089883349,-0.0182016886884
1625482236755554938,32871,1625482236745351856,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56327251626,0.150655918442,-0.0044243744291,2.03295064972,0.0026093487629,0.953203010204,0.00246587668515,-0.0182608227172,0.0,0.0,0.0,0.0395337399033,-0.0395337399034,-0.0513700304169,-0.365976498976,-11.4557808212,-0.366172385517,-5.83292710183,-0.104747812813,-0.10577552438,-0.00992823912037
1625482236757801297,32872,1625482236747638237,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56323599291,0.15062876834,-0.00446998653661,2.03295064972,0.0026093487629,0.953203010204,0.00256862154703,0.0182282296258,-0.0135501883944,-0.0227642842699,0.0,0.0,0.0,0.051278341881,-0.358063300613,-11.4341723418,-0.35598340702,-5.83757782912,-0.108894772385,-0.113838556372,-0.0268974120024
1625482236855705324,32873,1625482236845477119,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56323599291,0.150655918442,-0.0044243744291,2.03295064972,0.00300470463606,0.953598366077,0.00256862154703,0.0182608227172,0.0,0.0,0.0,0.0,0.0,0.0,-0.39620366782,-11.4620749939,-0.391445395154,-5.85296015663,-0.108048992032,-0.122300501934,-0.0124702783222
1625482236857914502,32874,1625482236847743711,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56323599291,0.15062876834,-0.00446998653661,2.03295064972,0.0030837758107,0.953677437252,0.00256862154703,0.0,-0.0135485762363,-0.0227615758483,0.0,0.0394584823378,0.0394584823378,0.0,-0.351527544544,-11.4404151428,-0.352115039981,-5.8592614606,-0.119962913965,-0.13164844811,-0.0286202582196
1625482236955876963,32875,1625482236945599147,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56327251626,0.15062876834,-0.00446998653661,2.03295064972,0.00229306406437,0.952886725506,0.00256862154703,-0.0182673553273,0.0,0.0,0.0,-0.0395478826674,-0.0395478826674,0.0,-0.350098930759,-11.4496071501,-0.349623298369,-5.82515713062,-0.0879755634956,-0.100433943029,-0.010705580516
1625482236958030131,32876,1625482236947845524,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56323599291,0.15062876834,-0.00446998653661,2.03295064972,0.002372135239,0.95296579668,0.00256862154703,0.0182412528906,0.0,0.0,0.0,0.0394913722373,0.0394913722373,0.0,-0.388329844698,-11.4603596124,-0.384649212248,-5.84981018528,-0.107344038809,-0.121564727998,-0.0129989391097
